Tweet ID,Full Text
1358053840935915520,#RT It originated in #Wuhan province in #China. Being the fastest transmitting virus #coronavirus has become #pandemic so fast. WHO praises India but Modi's #janatacurfew has formed biggest #cacophony &amp; biggest #silence in history https://t.co/FRtSfVNOQD https://t.co/zpdnbqnNQb
1359873073936236545,"Киевсовет выделил 140 млн грн на вакцинацию киевлян от COVID-19 — вакцину купят напрямую у производителя
https://t.co/auB8T3cGYa"
1362596092383277062,"@SabraBerger @AP If I could leave a place (like Atl in March 2020 with COVID craziness), why wouldn’t I? (I did, btw)"
1358623765022834690,@WesElyMD Terrible covid + lasix
1360554706263805952,@gehrig38 @DonaldJTrumpJr @NYGovCuomo See COVID 19( AKA) Trump virus ....
1359527248064368641,"Der Lockdown muss beendet werden und Schulen müssen wieder öffnen.
#AllesÖffnen"
1360326319813361671,Spending some of my lockdown time getting back to working on some cardio. #FocusT25 #DigDeeper @ShaunT https://t.co/8nGPqiHabY
1362895031179177984,@DespairThee I tend to gravitate towards cartoons and since covid it's been mainly makeup and closet cosplays but I can't wait to build something new https://t.co/lpsl1CVaU9
1356824133204467720,Betul. Saya sokong. 😁 https://t.co/usoEhbamaO
1361252827549425671,"@m838269 @Mark_J_Harper @BorisJohnson Er, they either never had a national lockdown, or they haven’t had one since spring 2020. So yes, they don’t expect to need a national lockdown ever again. For now, they’re attending sports events, school, work, malls, etc etc as usual, &amp; have been for 6+ months already. Goodbye"
1356808562559877124,@Sen_JoeManchin so much for your message of bipartisan unity huh?  Wonder what kickback is in this bill for you?  This bill is an outrage and you know it.  What happened to your deficit concern?! @SenCapito @RepMcKinley @RepAlexMooney. @HoppyKercheval https://t.co/QVhbZaIAQu
1358644147758919681,"టీకా తీసుకున్న ఆంధ్రా గ్రామ వాలంటీర్ మృతి
https://t.co/WeViH60tq4"
1357271591361593345,"Todos los del #atleti que no hayan pasado la covid la temporada pasada. Parece que la van a pasar este mes y contagiarse entre ellos. A ver como terminamos este mes. Liga fácil decían, fácil mis cojones."
1360856879052713993,"Why students who are enrolled in Colleges (recently suspended for CAQ but now suspension is lifted) in Montreal are➡️not getting Visas.⬅️
This is seriously enough that you are giving us the reason of COVID. 
Student's life matters alot and you are playing with it(excuses).
??
???"
1362597444282847232,Low-Income Californians to Receive $600 Stimulus Checks as Part of COVID-19 Relief Package https://t.co/ChXhF713oE via @YahooEnt
1358947933224374274,@humb1ed_ @purinsesusempai Its not just a finesse but a fam well executed marketing strategy.  Covid has succeeded where climate change scare tactics failed.
1362065200384458758,"@adamidmark @KarabellaM Kolega byl niedawno. Na ląd do Tallina nie szli, bo testy byly potrzebne. Nie ma tu zadnego lockdown, sa tylko ograniczenia, wszystko niemal dziala normalnie. Restauracje do 23 orzynajmniej w Lahti, w Helsinkach chyba tylko do 22."
1360027817245896704,I was expressing horror that this nurse had Covid twice. We know that’s possible and we don’t know how long antibodies and the vaccine provide protections.
1356109678334369794,"@5wp0rc4ob3hK57i

ご応募ありがとうございます！
当落結果は…！！

残念…

このキャンペーンは2/7まで毎日応募出来るので、明日もご応募お待ちしております🐧

📢2/7まで全国のドンキ系列店舗にてmajica会員限定5%Pt還元も開催中🐧
https://t.co/Esa998mtdt https://t.co/jFX2nxObiv"
1358945133786402817,"Mari lindungi keluarga kita dari Covid-19 dengan disiplin memakai masker.
@divisihumaspolri
#kapoldasulsel
#poldasulsel
#opsyustisipoldasulsel https://t.co/xsfoFmjChM"
1358443422206468096,El covid-19 ahora tiene a las Hermanitas Calle en una grave crisis económica https://t.co/cekXNjibmH
