Tweet ID,Full Text
1354061211281678336,"@bobbicallie @jaywhyelle You should wear a mask when you’re in the car by yourself!!  It keeps you from licking the windows!.,"
1350401637127516160,"@shaz_england Same. And when ppl use the ""but I have Asthma I cant breathe."" Excuse
Piss the F...off. I have Asthma and I am home a lot to stay safe and deff. Wear a mask when out BECAUSE I have asthma. Stupid f***ers"
1345472619546509312,#NYTough #WearAMask #WearAMaskSaveALife https://t.co/d070kgJmGW
1346419744602279936,"Just stay at home, if you must step out, wear a Fucking mask ffs!! https://t.co/05fmEwnmqW"
1346405367396315138,"#Covid19Zim 

Please wear your mask, sanitize your hands and  avoid unnecessary movements.  Protect the people around you we are losing  family and friends to this deadly pandemic. Let's change our attitudes, behaviours &amp; conduct if we are to beat this pandemic
#staysafe https://t.co/uUQ3KqJEIv"
1352325074628603905,I wish I was rich enough to own an island... away from you cunts who can’t wear a mask and do as you’re told
1345003120640876545,Would you wear it?  https://t.co/fAhNPg0SOE
1349105572461817856,"@kerpen The same ""data"" that always found that masks were fairly INEFFECTIVE....until Covid?"
1348070061299408899,"@Cudalla Jersey Mike's
Potbelly's
Jimmy Johns
.
.
.
Subway
.
.
.
.
.
Picklemanns

(i liked their subs but i went last month and they don't mask their employees so lol bye bitch fuck your covid-ridden subs)"
1355313052069969921,@blossomsvoid in high school tho I definitely thought it was so weird to wear a hoodie without a shirt so I guess I get it but idk I figured we all reached this point by now especially in lockdown 😭😂
1347695066056429569,"@jenzshoppin @EricTrump So your saying they went to a rally listen to someone that makes them sick then made their way into the senate to protest an election they knew they had won , and didn’t wear a mask so that they would also get caught! Sounds legit ! We we see when the release the arrest !"
1346640469472718850,"@Soundboris2 I feel that 😂
The masks since covid have been perf for social anxiety and highness alike."
1354752825096605698,@MayowaTolaIsaac @danieljnti @lindleviM The Spanish lockdown was strict. In Spain masks must be worn both inside and outdoors. Despite this Spanish cases skyrocketed throughout October. Mandatory social distancing and mask wearing do not work. The arbitrary coronavirus restrictions in the UK will achieve nothing.
1347801033712525313,Bro slide with a COVID mask
1347322202140549123,hey yall my covid turned into pneumonia but imma be okay!! #wearamask https://t.co/zgKBNwUegm
1348420918465462276,@Road2PerfEQtion Is WEC not being serious about their COVID precautions?? Curious because my boss mentioned maybe going up for a few days but if they aren’t strict with masks we may reconsider.
1349921636086996994,Wear a mask (incorrectly)
1354468178525638661,"@MurphyVia @michaelianblack Congratulations! You’re an asymptomatic COVID spreader and you probably killed some people. Masks aren’t about protecting yourself, you selfish cunt. They’re about protecting the most vulnerable."
1354200853448687617,"UPDATE: 5:49 p.m. all appointments are full. 
We'll share information as Seminole County continues to release new appointment dates/times. Thank you for your patience! Please continue to help keep everyone safe. Wear a mask and follow CDC guidelines.

https://t.co/9Txtsr9Ckl"
1349493108430438400,"Please Wear a mask"" protect you, protect others"" 
https://t.co/HFXbpUe3SE
I will do create fb business or fan page and do facebok promotion for your business.
I am a fulltime freelancer at fiverr
#facebookbusinesspage #facebookpromotion  #fiverr #localbusiness #DigitalMarketing https://t.co/rekx5pgwpO"
1346502313771487232,"Partnerships make our county strong! RCDOH, Good Samaritan Hospital, the Palisades Center, and the Clarkstown Police Department worked together to offer COVID-19 testing and face masks to school students and staff. #PublicHealthIsHere4U #PublicHealthHeroes https://t.co/hDpvcsC8N2"
1348369001341214724,"Beyond just a mask...now &amp; was the case in March 2020 (below) @MCFRS_EMIHS PPE (personal protective equipment) Why we wear it - to keep you &amp; your family @MontgomeryCoMD Safe &amp; Well DYK Your mask/gloves protect us &amp; our masks/gloves protect you...WATCH 
 https://t.co/xrjCToAcYd https://t.co/Wxl2KAtRmr https://t.co/4GExd0wG16"
1354144333679783936,"What type of mask do you wear- #N95, surgical, cloth, or a combo? Which offers optimal protection? Dr. @bruce_y_lee of @PHICORteam and @CUNYSPH explains how different masks work - even #doublemasking in his latest article for @Forbes:
https://t.co/onP0owDCQv https://t.co/GvFdWuDd3S"
1347418504455049216,"@DanRather Note to Dan Rather, you should wear a mask 24/7  maybe could keep your negative mouth shut. Everyone is sick of you"
1347236244942569472,"@boutros555 @zorinaq Yes, Marc goes where the covid grifters go.

For example my theory on why Japan was not held up as the ""anti-LD"" example by anti-LD advocates is because they wear masks.

If Japan was chosen instead of Sweden he'd be analyzing Japan more.

It's THEIR call where he (or I) go."
1351316748310437896,"To anyone still refusing to wear a mask and take this virus seriously:

I just had to comfort a little old woman who was sobbing in the hotel lobby because her husband of 60 years is stuck in a nursing home with covid. 

She hasn’t been able to see him in person since March 2020."
1345307241554046976,"Ad on TV telling us that asymptomatic people spread covid ! 🤬 Absolute lie. Only done to scare those  paranoid, spoon fed by the BBC mask wearers against those of us who know the truth."
1351675038336892930,"@LawrenceMorra Sorry that isn't correct. A N95 mask will reliably halt particles  down to about 0.3 microns. A CO2 molecule is 0.33 nm in size, thats 0.00033 microns and O2 is 0.3 nm, thats 0.0003 microns. 400 times smaller than the smallest particle the mask will reliably halt."
1355761971971252232,"wear a mask
#arttwt https://t.co/O8rZpfaXoP"
1348038153723002881,@GovSisolak Never realized this. James Charles  an influencer did many collab vids with many people with no mask during the pandemic lol.
1350002927327391746,Covid 19 Mask Face Respirator Filtered Air PM2.5 Smog Windproof Recyclable Removable Breathable N95 Patented Protective Mask https://t.co/v9nXsDoZUb
1352088324769525763,Do Biden and them have to wear a mask in the White House because it still has the smell of Trump everywhere?
1347232361553956865,"@Breaking911 @CNBC Find it funny that the party that prides itself on waging civil disobedience can’t handle a little hooliganism that happened yesterday. 

Then again, it’s the same wussies who are so afraid of Covid they’re wearing masks in their own cars 🥱🤷‍♂️"
1353997690980466689,"Ei so you want to be beaten to protect yourself...Hm ehard oo Ghana🤦🏻...smh
#WearAMask"
1348118906083438597,@GOP republicans refuse to wear masks. Why is Covid still an issue? Republicans don’t care about you that is why! #WearADamnMask #MAGAMorons #CorruptGOP #GOPSeditiousTraitors #CapitolRiots https://t.co/RgIydbknRj
1347795275692134401,"As the protesters bumbarted the building, didn't C ppl caring abt covin19? No Mask ? 
No problem! https://t.co/41oUBNmN8y"
1354338476603416576,@GMB @NickDixonITV @SimonCalder Every country &amp; every returning person must be included. No excluded people ie elite vips or businessman working abroad. Every single person or don’t bother. Airport employees must have hazmat style ppe if in contact with the public #Travel #covidtravel @BorisJohnson #WearAMask
1351656944742887427,"Waiting for the magical day that we get to fill these babies back up for you! Stay safe, stay healthy, and wear a mask. We will see you all again soon! https://t.co/PbZqPO1vlS"
1353755602078449664,"PPL have been wearing masks for over a year. THAT DOES NOT prevent one from getting covid. Than 400k ppl who dies did not wear a mask.
#DEMS have nothing more to put out there so they keep yakking about wearing a mask yet cases go up.
MASKS DO NOT WORK"
1354067932503011328,"So, are #politicians exempt? Is it just the 'yahoos' who must wear a #mask when indoors?
#onpoli #cndpoli https://t.co/TlPlK5AVPk"
1349436069754908679,hhsgov: #COVID19 can be spread by people who do not have symptoms &amp; do not know that they are infected. Masks worn over the mouth AND nose can help prevent people who have COVID-19 from spreading the virus to others. https://t.co/io89PmRdK7 https://t.co/aSCE4vqwvu
1356016263403884546,"@jkenney Says the guy who continues to not do enough for his own province with covid I know how they feel though I'm stuck with @fordnation Why are the conservative provinces doing the worst hmmmmm #onpoli 
#WearAMask"
1353467433122750469,"@DancerDad Masks do work better than no masks, but you need medical 3 mask, and lockdown is the only thing that has proven to work in the UK. Until its lifted, that is. Clearly the vaccine will NOT work, we don't have a known cure for coronaviruses. We do have treatments, but not used"
1349570864564592641,Members of Congress know that a cloth mask doesn't offer anyone any protection https://t.co/ZixXCADSe0
